iter	Passed	Remaining
1475	121888	43272
1476	121969	43188
1477	122055	43107
1478	122140	43025
1479	122223	42943
1480	122304	42860
1481	122387	42777
1482	122475	42697
1483	122560	42615
1484	122642	42532
1485	122726	42450
1486	122805	42366
1487	122890	42284
1488	122977	42203
1489	123060	42121
1490	123140	42037
1491	123219	41954
1492	123303	41872
1493	123389	41790
1494	123473	41708
1495	123559	41626
1496	123644	41545
1497	123726	41462
1498	123809	41380
1499	123894	41298
1500	123977	41215
1501	124055	41131
1502	124135	41048
1503	124213	40963
1504	124302	40883
1505	124383	40800
1506	124464	40717
1507	124545	40634
1508	124627	40551
1509	124715	40470
1510	124800	40388
1511	124883	40306
1512	124966	40223
1513	125050	40141
1514	125130	40058
1515	125210	39974
1516	125287	39890
1517	125369	39807
1518	125449	39724
1519	125536	39643
1520	125618	39560
1521	125700	39477
1522	125785	39395
1523	125869	39313
1524	125953	39231
1525	126035	39148
1526	126116	39065
1527	126198	38982
1528	126282	38900
1529	126358	38816
1530	126442	38733
1531	126524	38651
1532	126604	38567
1533	126685	38484
1534	126771	38403
1535	126855	38321
1536	126934	38237
1537	127021	38156
1538	127100	38072
1539	127184	37990
1540	127269	37908
1541	127351	37825
1542	127436	37743
1543	127515	37659
1544	127595	37576
1545	127674	37493
1546	127759	37411
1547	127842	37328
1548	127923	37245
1549	128012	37164
1550	128091	37081
1551	128169	36997
1552	128257	36916
1553	128338	36833
1554	128417	36749
1555	128500	36667
1556	128588	36586
1557	128671	36503
1558	128750	36420
1559	128833	36337
1560	128918	36255
1561	128996	36171
1562	129078	36089
1563	129163	36007
1564	129242	35923
1565	129321	35840
1566	129402	35756
1567	129486	35674
1568	129573	35593
1569	129651	35509
1570	129732	35426
1571	129807	35341
1572	129883	35257
1573	129970	35176
1574	130056	35094
1575	130138	35011
1576	130219	34928
1577	130306	34847
1578	130393	34766
1579	130476	34683
1580	130563	34602
1581	130644	34519
1582	130728	34437
1583	130806	34353
1584	130893	34271
1585	130978	34189
1586	131061	34107
1587	131149	34026
1588	131230	33943
1589	131312	33860
1590	131392	33777
1591	131475	33694
1592	131558	33612
1593	131641	33529
1594	131724	33447
1595	131810	33365
1596	131890	33282
1597	131973	33199
1598	132059	33118
1599	132138	33034
1600	132223	32952
1601	132306	32870
1602	132383	32786
1603	132467	32703
1604	132546	32620
1605	132628	32537
1606	132707	32454
1607	132789	32371
1608	132875	32289
1609	132953	32206
1610	133035	32123
1611	133117	32040
1612	133199	31957
1613	133286	31876
1614	133367	31793
1615	133448	31710
1616	133535	31628
1617	133619	31546
1618	133699	31463
1619	133785	31381
1620	133864	31298
1621	133944	31215
1622	134026	31132
1623	134107	31049
1624	134193	30967
1625	134277	30885
1626	134354	30801
1627	134440	30719
1628	134519	30636
1629	134606	30554
1630	134688	30472
1631	134770	30389
1632	134860	30308
1633	134946	30226
1634	135028	30143
1635	135111	30061
1636	135190	29978
1637	135271	29895
1638	135358	29813
1639	135442	29731
1640	135524	29648
1641	135607	29566
1642	135686	29482
1643	135771	29400
1644	135852	29317
1645	135939	29236
1646	136023	29153
1647	136101	29070
1648	136180	28986
1649	136258	28903
1650	136341	28820
1651	136424	28738
1652	136504	28655
1653	136589	28573
1654	136673	28490
1655	136760	28409
1656	136839	28325
1657	136923	28243
1658	137001	28160
1659	137082	28077
1660	137167	27995
1661	137251	27912
